subscription_id,account_id,plan_id,started_at,ended_at,status,seats,mrr
S000061,A000061,PLN_GROWTH,2023-12-13,2024-03-13,cancelled,11,199
S000062,A000062,PLN_STARTER,2023-03-31,,active,4,49
S000063,A000063,PLN_SCALE,2023-08-26,,active,82,799
S000064,A000064,PLN_STARTER,2024-08-13,,active,2,49
S000065,A000065,PLN_GROWTH,2024-06-03,,active,16,199
S000066,A000066,PLN_STARTER,2024-05-01,2025-04-07,cancelled,5,49
S000067,A000067,PLN_STARTER,2023-12-05,,active,2,49
S000068,A000068,PLN_GROWTH,2023-02-24,,active,16,199
S000069,A000069,PLN_STARTER,2024-06-27,2025-09-27,cancelled,5,49
S000070,A000070,PLN_GROWTH,2025-04-29,,active,20,199
S000071,A000071,PLN_STARTER,2025-03-25,,active,5,49
S000072,A000072,PLN_GROWTH,2024-08-06,,active,10,199
S000073,A000073,PLN_SCALE,2024-08-17,,active,82,799
S000074,A000074,PLN_GROWTH,2025-02-03,2025-08-08,cancelled,12,199
S000075,A000075,PLN_SCALE,2025-06-02,,active,63,799
S000076,A000076,PLN_GROWTH,2023-01-21,,active,7,199
S000077,A000077,PLN_STARTER,2024-04-07,2025-04-25,cancelled,6,59
S000078,A000078,PLN_STARTER,2024-09-11,,active,3,49
S000079,A000079,PLN_SCALE,2024-07-20,,active,101,805
S000080,A000080,PLN_GROWTH,2024-08-23,,active,8,199
S000081,A000081,PLN_GROWTH,2024-03-05,2024-08-29,cancelled,15,199
S000082,A000082,PLN_GROWTH,2023-10-21,,active,19,199
S000083,A000083,PLN_STARTER,2025-06-16,,active,1,49
S000084,A000084,PLN_GROWTH,2023-04-03,2024-06-02,cancelled,16,199
S000085,A000085,PLN_STARTER,2023-12-30,,active,5,49
S000086,A000086,PLN_GROWTH,2024-12-15,,active,9,199
S000087,A000087,PLN_GROWTH,2023-06-01,2024-05-15,cancelled,8,199
S000088,A000088,PLN_STARTER,2025-02-09,,active,2,49
S000089,A000089,PLN_STARTER,2024-08-19,,active,6,59
S000090,A000090,PLN_STARTER,2024-07-30,,active,3,49
S000091,A000091,PLN_STARTER,2025-08-07,,active,2,49
S000092,A000092,PLN_STARTER,2023-03-12,,active,5,49
S000093,A000093,PLN_SCALE,2024-04-01,,active,70,799
S000094,A000094,PLN_STARTER,2023-12-24,,active,6,59
S000095,A000095,PLN_STARTER,2025-06-09,2025-10-04,cancelled,4,49
S000096,A000096,PLN_STARTER,2023-07-05,,active,3,49
S000097,A000097,PLN_STARTER,2023-03-25,,active,5,49
S000098,A000098,PLN_STARTER,2023-12-23,,active,1,49
S000099,A000099,PLN_ENTERPRISE,2023-03-05,,active,521,2583
S000100,A000100,PLN_STARTER,2024-05-03,,active,6,59
S000101,A000101,PLN_GROWTH,2023-02-05,,active,14,199
S000102,A000102,PLN_STARTER,2024-08-18,2025-10-26,cancelled,3,49
S000103,A000103,PLN_STARTER,2024-05-29,2024-09-10,cancelled,3,49
S000104,A000104,PLN_STARTER,2024-03-28,,active,5,49
S000105,A000105,PLN_STARTER,2025-05-28,,active,1,49
S000106,A000106,PLN_SCALE,2024-04-15,,active,70,799
S000107,A000107,PLN_GROWTH,2025-09-27,,active,25,239
S000108,A000108,PLN_SCALE,2023-09-23,,active,99,799
S000109,A000109,PLN_STARTER,2025-09-02,,active,5,49
S000110,A000110,PLN_STARTER,2025-08-06,,active,5,49
S000111,A000111,PLN_GROWTH,2023-09-14,,active,24,231
S000112,A000112,PLN_STARTER,2025-09-25,,active,2,49
S000113,A000113,PLN_STARTER,2025-06-29,,active,4,49
S000114,A000114,PLN_GROWTH,2024-02-06,,active,22,215
S000115,A000115,PLN_STARTER,2024-05-20,,active,1,49
S000116,A000116,PLN_SCALE,2024-03-21,,active,38,799
S000117,A000117,PLN_STARTER,2024-03-23,,active,4,49
S000118,A000118,PLN_STARTER,2023-04-24,2024-12-10,cancelled,6,59
S000119,A000119,PLN_GROWTH,2023-04-05,,active,21,207
S000120,A000120,PLN_STARTER,2023-10-22,,active,6,59
S000121,A000121,PLN_GROWTH,2024-02-19,2025-01-10,cancelled,21,207
S000122,A000122,PLN_GROWTH,2024-03-17,2025-11-03,cancelled,20,199
S000123,A000123,PLN_STARTER,2024-03-18,,active,4,49
S000124,A000124,PLN_STARTER,2023-02-04,,active,3,49
S000125,A000125,PLN_STARTER,2024-07-12,,active,2,49
S000126,A000126,PLN_STARTER,2024-07-05,2025-03-26,cancelled,5,49
S000127,A000127,PLN_GROWTH,2024-02-22,2025-10-16,cancelled,15,199
S000128,A000128,PLN_STARTER,2025-03-15,2025-09-16,cancelled,2,49
S000129,A000129,PLN_STARTER,2025-04-21,,active,3,49
S000130,A000130,PLN_GROWTH,2025-03-07,,active,23,223
S000131,A000131,PLN_STARTER,2024-12-16,2025-08-06,cancelled,6,59
S000132,A000132,PLN_STARTER,2024-05-02,,active,2,49
S000133,A000133,PLN_GROWTH,2023-07-16,,active,16,199
S000134,A000134,PLN_GROWTH,2025-04-26,2025-10-28,cancelled,21,207
S000135,A000135,PLN_SCALE,2023-09-15,,active,52,799
S000136,A000136,PLN_GROWTH,2024-05-17,2024-08-31,cancelled,14,199
S000137,A000137,PLN_STARTER,2023-09-29,,active,3,49
S000138,A000138,PLN_GROWTH,2023-04-24,,active,15,199
S000139,A000139,PLN_STARTER,2023-11-27,2025-07-30,cancelled,6,59
S000140,A000140,PLN_GROWTH,2025-07-01,,active,17,199
S000141,A000141,PLN_GROWTH,2024-11-09,,active,21,207
S000142,A000142,PLN_STARTER,2024-10-20,,active,6,59
S000143,A000143,PLN_STARTER,2023-10-11,,active,2,49
S000144,A000144,PLN_GROWTH,2023-12-06,2025-05-25,cancelled,18,199
S000145,A000145,PLN_STARTER,2024-10-01,,active,6,59
S000146,A000146,PLN_STARTER,2023-07-27,,active,3,49
S000147,A000147,PLN_STARTER,2025-04-05,,active,3,49
S000148,A000148,PLN_SCALE,2023-02-14,2024-12-07,cancelled,83,799
S000149,A000149,PLN_GROWTH,2025-02-20,,active,8,199
S000150,A000150,PLN_GROWTH,2024-06-12,,active,8,199
S000151,A000151,PLN_SCALE,2025-09-05,,active,96,799
S000152,A000152,PLN_SCALE,2024-07-15,,active,78,799
S000153,A000153,PLN_STARTER,2024-01-04,,active,2,49
S000154,A000154,PLN_SCALE,2023-11-11,,active,132,991
S000155,A000155,PLN_STARTER,2024-06-26,,active,6,59
S000156,A000156,PLN_GROWTH,2023-08-10,,active,14,199
S000157,A000157,PLN_GROWTH,2023-07-20,2025-04-06,cancelled,9,199
S000158,A000158,PLN_GROWTH,2024-09-29,,active,15,199
S000159,A000159,PLN_GROWTH,2024-10-25,,active,21,207
S000160,A000160,PLN_GROWTH,2025-09-17,,active,24,231
S000161,A000161,PLN_STARTER,2025-07-20,,active,2,49
S000162,A000162,PLN_STARTER,2024-05-17,,active,6,59
S000163,A000163,PLN_STARTER,2025-07-09,,active,5,49
S000164,A000164,PLN_GROWTH,2023-03-04,,active,26,247
S000165,A000165,PLN_STARTER,2023-10-30,2025-10-07,cancelled,3,49
S000166,A000166,PLN_GROWTH,2024-08-05,,active,21,207
S000167,A000167,PLN_GROWTH,2023-11-01,,active,17,199
S000168,A000168,PLN_SCALE,2023-02-19,,active,103,817
S000169,A000169,PLN_STARTER,2025-05-23,,active,4,49
S000170,A000170,PLN_GROWTH,2025-09-24,,active,15,199
S000171,A000171,PLN_STARTER,2024-09-04,2025-12-09,cancelled,2,49
S000172,A000172,PLN_STARTER,2023-05-19,2024-11-22,cancelled,3,49
S000173,A000173,PLN_STARTER,2023-02-11,2024-01-24,cancelled,3,49
S000174,A000174,PLN_SCALE,2023-04-27,2024-04-28,cancelled,55,799
S000175,A000175,PLN_STARTER,2023-07-07,2024-03-04,cancelled,3,49
S000176,A000176,PLN_SCALE,2023-06-19,,active,98,799
S000177,A000177,PLN_GROWTH,2024-11-22,2025-06-20,cancelled,21,207
S000178,A000178,PLN_GROWTH,2024-08-10,,active,21,207
S000179,A000179,PLN_STARTER,2024-05-25,,active,5,49
S000180,A000180,PLN_STARTER,2023-08-26,,active,3,49
S000181,A000181,PLN_STARTER,2024-03-21,2024-07-06,cancelled,3,49
S000182,A000182,PLN_STARTER,2025-03-14,,active,3,49
S000183,A000183,PLN_GROWTH,2025-01-19,,active,22,215
S000184,A000184,PLN_STARTER,2024-05-31,,active,3,49
S000185,A000185,PLN_STARTER,2025-06-29,,active,3,49
S000186,A000186,PLN_GROWTH,2025-07-24,,active,16,199
S000187,A000187,PLN_STARTER,2023-08-08,,active,2,49
S000188,A000188,PLN_STARTER,2025-04-02,,active,5,49
S000189,A000189,PLN_SCALE,2023-07-02,,active,94,799
S000190,A000190,PLN_STARTER,2025-03-29,,active,6,59
S000191,A000191,PLN_STARTER,2024-03-06,,active,4,49
S000192,A000192,PLN_GROWTH,2024-11-10,,active,8,199
S000193,A000193,PLN_STARTER,2024-10-14,2025-07-14,cancelled,6,59
S000194,A000194,PLN_SCALE,2023-07-08,2024-11-05,cancelled,70,799
S000195,A000195,PLN_STARTER,2025-08-15,,active,4,49
S000196,A000196,PLN_STARTER,2024-12-06,,active,3,49
S000197,A000197,PLN_STARTER,2023-12-22,,active,4,49
S000198,A000198,PLN_GROWTH,2023-09-27,,active,23,223
S000199,A000199,PLN_STARTER,2025-07-06,,active,3,49
S000200,A000200,PLN_GROWTH,2025-09-04,,active,12,199
S000201,A000201,PLN_GROWTH,2023-04-16,,active,22,215
S000202,A000202,PLN_GROWTH,2024-05-17,,active,23,223
S000203,A000203,PLN_STARTER,2023-08-21,,active,4,49
S000204,A000204,PLN_GROWTH,2025-04-14,,active,11,199
S000205,A000205,PLN_GROWTH,2023-02-01,2023-07-18,cancelled,8,199
S000206,A000206,PLN_GROWTH,2023-01-20,2024-09-20,cancelled,14,199
S000207,A000207,PLN_STARTER,2024-09-28,,active,4,49
S000208,A000208,PLN_SCALE,2023-12-19,,active,67,799
S000209,A000209,PLN_STARTER,2023-03-05,2025-01-15,cancelled,5,49
S000210,A000210,PLN_STARTER,2024-01-02,2025-06-29,cancelled,3,49
S000211,A000211,PLN_STARTER,2024-10-20,,active,3,49
S000212,A000212,PLN_GROWTH,2025-03-12,,active,16,199
S000213,A000213,PLN_STARTER,2025-08-15,,active,2,49
S000214,A000214,PLN_STARTER,2024-04-07,,active,2,49
S000215,A000215,PLN_GROWTH,2024-11-02,2025-10-04,cancelled,17,199
S000216,A000216,PLN_STARTER,2025-04-10,,active,5,49
S000217,A000217,PLN_GROWTH,2025-07-23,,active,21,207
S000218,A000218,PLN_STARTER,2025-04-09,,active,3,49
S000219,A000219,PLN_SCALE,2023-02-16,,active,81,799
S000220,A000220,PLN_SCALE,2023-06-30,,active,97,799
S000221,A000221,PLN_STARTER,2024-05-09,,active,5,49
S000222,A000222,PLN_STARTER,2024-03-26,,active,3,49
S000223,A000223,PLN_STARTER,2023-09-22,,active,2,49
S000224,A000224,PLN_STARTER,2023-02-10,,active,6,59
S000225,A000225,PLN_STARTER,2025-04-05,,active,5,49
S000226,A000226,PLN_STARTER,2024-02-09,2025-08-04,cancelled,3,49
S000227,A000227,PLN_GROWTH,2025-04-05,,active,25,239
S000228,A000228,PLN_ENTERPRISE,2023-01-16,2024-11-14,cancelled,360,2499
S000229,A000229,PLN_SCALE,2024-04-09,2025-01-24,cancelled,100,799
S000230,A000230,PLN_STARTER,2023-04-28,,active,2,49
S000231,A000231,PLN_GROWTH,2023-11-03,2025-09-24,cancelled,22,215
S000232,A000232,PLN_STARTER,2024-12-25,2025-05-19,cancelled,4,49
S000233,A000233,PLN_STARTER,2024-12-10,,active,5,49
S000234,A000234,PLN_STARTER,2023-10-06,2025-08-10,cancelled,2,49
S000235,A000235,PLN_STARTER,2025-09-06,,active,3,49
S000236,A000236,PLN_ENTERPRISE,2024-04-19,,active,387,2499
S000237,A000237,PLN_STARTER,2023-02-06,,active,2,49
S000238,A000238,PLN_GROWTH,2024-03-31,2024-08-10,cancelled,7,199
S000239,A000239,PLN_SCALE,2025-07-31,,active,53,799
S000240,A000240,PLN_GROWTH,2023-09-28,,active,13,199
S000241,A000241,PLN_GROWTH,2024-08-29,,active,25,239
S000242,A000242,PLN_GROWTH,2023-08-12,,active,16,199
S000243,A000243,PLN_SCALE,2023-07-13,,active,82,799
S000244,A000244,PLN_GROWTH,2024-06-22,,active,24,231
S000245,A000245,PLN_GROWTH,2023-07-30,2025-01-08,cancelled,8,199
S000246,A000246,PLN_GROWTH,2024-04-20,2025-11-06,cancelled,10,199
S000247,A000247,PLN_GROWTH,2025-08-02,,active,9,199
S000248,A000248,PLN_GROWTH,2023-12-14,,active,18,199
S000249,A000249,PLN_SCALE,2024-05-30,,active,65,799
S000250,A000250,PLN_STARTER,2024-08-23,,active,5,49
S000251,A000251,PLN_GROWTH,2024-10-05,,active,19,199
S000252,A000252,PLN_ENTERPRISE,2025-05-17,,active,286,2499
S000253,A000253,PLN_GROWTH,2024-06-08,,active,26,247
S000254,A000254,PLN_STARTER,2024-10-08,,active,3,49
S000255,A000255,PLN_SCALE,2023-10-24,,active,131,985
S000256,A000256,PLN_STARTER,2025-06-21,,active,3,49
S000257,A000257,PLN_GROWTH,2025-03-18,,active,9,199
S000258,A000258,PLN_GROWTH,2024-01-16,2025-06-08,cancelled,21,207
S000259,A000259,PLN_ENTERPRISE,2025-08-26,,active,226,2499
S000260,A000260,PLN_STARTER,2024-03-13,,active,3,49
S000261,A000261,PLN_STARTER,2024-11-30,,active,2,49
S000262,A000262,PLN_STARTER,2025-05-27,,active,2,49
S000263,A000263,PLN_ENTERPRISE,2023-03-07,,active,270,2499
S000264,A000264,PLN_STARTER,2023-11-27,2025-07-14,cancelled,4,49
S000265,A000265,PLN_SCALE,2024-01-11,,active,74,799
S000266,A000266,PLN_ENTERPRISE,2023-08-12,2024-10-19,cancelled,492,2499
S000267,A000267,PLN_GROWTH,2023-11-28,,active,25,239
S000268,A000268,PLN_STARTER,2024-07-15,2025-12-13,cancelled,4,49
S000269,A000269,PLN_SCALE,2025-04-19,2025-10-08,cancelled,119,913
S000270,A000270,PLN_GROWTH,2023-04-26,,active,23,223
S000271,A000271,PLN_STARTER,2024-04-28,2024-11-29,cancelled,3,49
S000272,A000272,PLN_GROWTH,2024-04-01,,active,25,239
S000273,A000273,PLN_STARTER,2024-01-28,2025-12-06,cancelled,5,49
S000274,A000274,PLN_GROWTH,2023-09-11,,active,7,199
S000275,A000275,PLN_SCALE,2023-05-16,,active,46,799
S000276,A000276,PLN_STARTER,2024-03-15,,active,4,49
S000277,A000277,PLN_GROWTH,2024-01-07,,active,25,239
S000278,A000278,PLN_STARTER,2023-11-20,2024-10-08,cancelled,1,49
S000279,A000279,PLN_STARTER,2023-10-14,,active,5,49
S000280,A000280,PLN_GROWTH,2024-04-28,,active,9,199
S000281,A000281,PLN_GROWTH,2024-09-26,2025-05-28,cancelled,13,199
S000282,A000282,PLN_GROWTH,2024-12-19,,active,26,247
S000283,A000283,PLN_STARTER,2023-10-02,,active,6,59
S000284,A000284,PLN_SCALE,2024-12-01,,active,58,799
S000285,A000285,PLN_GROWTH,2023-04-21,,active,13,199
S000286,A000286,PLN_STARTER,2025-10-04,,active,1,49
S000287,A000287,PLN_SCALE,2025-02-15,,active,71,799
S000288,A000288,PLN_STARTER,2025-06-30,,active,1,49
S000289,A000289,PLN_SCALE,2025-05-11,,active,100,799
S000290,A000290,PLN_STARTER,2023-07-25,2024-08-06,cancelled,6,59
S000291,A000291,PLN_SCALE,2025-01-23,,active,114,883
S000292,A000292,PLN_STARTER,2023-05-19,,active,1,49
S000293,A000293,PLN_SCALE,2025-08-13,,active,57,799
S000294,A000294,PLN_STARTER,2024-06-06,,active,5,49
S000295,A000295,PLN_GROWTH,2025-02-13,,active,23,223
S000296,A000296,PLN_GROWTH,2024-06-07,,active,21,207
S000297,A000297,PLN_STARTER,2024-08-09,,active,6,59
S000298,A000298,PLN_STARTER,2023-10-16,,active,5,49
S000299,A000299,PLN_STARTER,2023-03-08,2023-11-03,cancelled,4,49
S000300,A000300,PLN_STARTER,2025-04-08,,active,3,49
S000301,A000301,PLN_STARTER,2023-12-10,,active,2,49
S000302,A000302,PLN_STARTER,2024-01-15,,active,2,49
S000303,A000303,PLN_STARTER,2023-06-06,,active,5,49
S000304,A000304,PLN_STARTER,2024-10-16,,active,2,49
S000305,A000305,PLN_GROWTH,2024-03-16,,active,14,199
S000306,A000306,PLN_STARTER,2024-03-02,,active,2,49
S000307,A000307,PLN_STARTER,2023-12-21,,active,3,49
S000308,A000308,PLN_STARTER,2024-07-19,2025-11-07,cancelled,3,49
S000309,A000309,PLN_ENTERPRISE,2025-01-18,,active,253,2499
S000310,A000310,PLN_GROWTH,2024-03-30,,active,21,207
S000311,A000311,PLN_SCALE,2023-08-09,,active,106,835
S000312,A000312,PLN_SCALE,2024-04-17,,active,54,799
S000313,A000313,PLN_ENTERPRISE,2024-02-11,,active,238,2499
S000314,A000314,PLN_STARTER,2023-11-10,,active,2,49
S000315,A000315,PLN_STARTER,2025-03-19,2025-07-30,cancelled,2,49
S000316,A000316,PLN_STARTER,2025-09-17,,active,6,59
S000317,A000317,PLN_STARTER,2025-05-31,2025-09-19,cancelled,4,49
S000318,A000318,PLN_GROWTH,2023-10-30,,active,22,215
S000319,A000319,PLN_GROWTH,2023-03-26,2024-05-18,cancelled,18,199
S000320,A000320,PLN_STARTER,2023-04-14,,active,2,49
S000321,A000321,PLN_STARTER,2023-07-08,2025-05-25,cancelled,2,49
S000322,A000322,PLN_ENTERPRISE,2023-11-15,,active,361,2499
S000323,A000323,PLN_STARTER,2025-07-19,,active,3,49
S000324,A000324,PLN_GROWTH,2023-06-12,,active,15,199
S000325,A000325,PLN_GROWTH,2023-05-15,,active,18,199
S000326,A000326,PLN_STARTER,2023-06-28,2024-02-16,cancelled,6,59
S000327,A000327,PLN_SCALE,2023-11-19,2024-10-23,cancelled,71,799
S000328,A000328,PLN_STARTER,2023-11-18,,active,2,49
S000329,A000329,PLN_STARTER,2025-02-24,,active,5,49
S000330,A000330,PLN_STARTER,2024-12-21,,active,6,59
S000331,A000331,PLN_GROWTH,2025-07-26,,active,26,247
S000332,A000332,PLN_GROWTH,2023-09-21,,active,24,231
S000333,A000333,PLN_SCALE,2023-08-17,2025-04-25,cancelled,35,799
S000334,A000334,PLN_GROWTH,2024-02-27,,active,18,199
S000335,A000335,PLN_STARTER,2024-09-07,,active,3,49
S000336,A000336,PLN_GROWTH,2025-01-21,2025-11-24,cancelled,13,199
S000337,A000337,PLN_STARTER,2023-06-01,,active,3,49
S000338,A000338,PLN_GROWTH,2024-11-04,,active,21,207
S000339,A000339,PLN_STARTER,2023-09-17,,active,4,49
S000340,A000340,PLN_STARTER,2024-07-21,,active,3,49
S000341,A000341,PLN_STARTER,2024-09-08,,active,2,49
S000342,A000342,PLN_GROWTH,2024-01-01,,active,13,199
S000343,A000343,PLN_STARTER,2023-04-10,2023-08-31,cancelled,1,49
S000344,A000344,PLN_GROWTH,2025-06-05,,active,17,199
S000345,A000345,PLN_STARTER,2023-04-28,,active,5,49
S000346,A000346,PLN_STARTER,2023-10-28,,active,5,49
S000347,A000347,PLN_STARTER,2023-09-15,,active,3,49
S000348,A000348,PLN_GROWTH,2023-04-29,,active,7,199
S000349,A000349,PLN_STARTER,2023-04-13,,active,5,49
S000350,A000350,PLN_ENTERPRISE,2025-09-16,,active,504,2515
S000351,A000351,PLN_STARTER,2023-09-10,,active,5,49
S000352,A000352,PLN_STARTER,2024-04-11,,active,4,49
S000353,A000353,PLN_SCALE,2023-08-21,,active,69,799
S000354,A000354,PLN_SCALE,2025-04-04,,active,72,799
S000355,A000355,PLN_GROWTH,2024-02-06,,active,20,199
S000356,A000356,PLN_STARTER,2025-08-30,,active,2,49
S000357,A000357,PLN_STARTER,2023-03-11,2023-08-13,cancelled,5,49
S000358,A000358,PLN_GROWTH,2025-02-18,,active,24,231
S000359,A000359,PLN_GROWTH,2025-03-18,,active,15,199
S000360,A000360,PLN_STARTER,2024-11-17,,active,2,49
S000361,A000361,PLN_GROWTH,2024-06-28,,active,7,199
S000362,A000362,PLN_STARTER,2024-07-01,,active,5,49
S000363,A000363,PLN_STARTER,2025-05-10,,active,6,59
S000364,A000364,PLN_SCALE,2024-05-08,2024-09-17,cancelled,125,949
S000365,A000365,PLN_STARTER,2024-07-05,,active,4,49
S000366,A000366,PLN_STARTER,2025-03-28,,active,2,49
S000367,A000367,PLN_GROWTH,2025-07-21,,active,7,199
S000368,A000368,PLN_SCALE,2023-04-24,2024-01-09,cancelled,89,799
S000369,A000369,PLN_GROWTH,2025-06-24,,active,8,199
S000370,A000370,PLN_STARTER,2025-08-12,,active,4,49
S000371,A000371,PLN_STARTER,2025-04-01,,active,5,49
S000372,A000372,PLN_STARTER,2023-11-05,2025-01-15,cancelled,3,49
S000373,A000373,PLN_STARTER,2024-05-29,,active,6,59
S000374,A000374,PLN_GROWTH,2025-07-07,,active,17,199
S000375,A000375,PLN_GROWTH,2024-07-15,,active,9,199
S000376,A000376,PLN_STARTER,2023-08-14,2024-06-03,cancelled,4,49
S000377,A000377,PLN_ENTERPRISE,2024-06-16,2025-03-31,cancelled,423,2499
S000378,A000378,PLN_GROWTH,2024-05-01,2025-05-08,cancelled,18,199
S000379,A000379,PLN_STARTER,2024-02-29,2025-07-28,cancelled,6,59
S000380,A000380,PLN_ENTERPRISE,2025-08-13,,active,395,2499
S000381,A000381,PLN_GROWTH,2023-12-15,,active,8,199
S000382,A000382,PLN_GROWTH,2023-05-13,,active,12,199
S000383,A000383,PLN_GROWTH,2024-01-13,,active,11,199
S000384,A000384,PLN_GROWTH,2023-11-21,,active,11,199
S000385,A000385,PLN_STARTER,2024-02-03,2024-06-12,cancelled,4,49
S000386,A000386,PLN_GROWTH,2024-04-19,,active,16,199
S000387,A000387,PLN_ENTERPRISE,2024-03-25,2024-10-15,cancelled,445,2499
S000388,A000388,PLN_STARTER,2023-07-04,,active,2,49
S000389,A000389,PLN_STARTER,2024-01-09,,active,2,49
S000390,A000390,PLN_SCALE,2023-07-19,,active,65,799
S000391,A000391,PLN_STARTER,2023-10-03,,active,4,49
S000392,A000392,PLN_STARTER,2024-12-19,,active,3,49
S000393,A000393,PLN_STARTER,2024-05-15,2024-11-14,cancelled,6,59
S000394,A000394,PLN_ENTERPRISE,2025-04-19,2025-12-17,cancelled,241,2499
S000395,A000395,PLN_GROWTH,2024-10-20,2025-09-24,cancelled,14,199
S000396,A000396,PLN_STARTER,2023-10-19,,active,5,49
S000397,A000397,PLN_STARTER,2023-09-09,,active,6,59
S000398,A000398,PLN_GROWTH,2023-11-20,2024-08-05,cancelled,19,199
S000399,A000399,PLN_STARTER,2025-05-01,,active,4,49
S000400,A000400,PLN_GROWTH,2023-06-25,,active,12,199
S000401,A000401,PLN_GROWTH,2025-02-05,2025-12-24,cancelled,22,215
S000402,A000402,PLN_STARTER,2023-04-30,2023-10-26,cancelled,1,49
S000403,A000403,PLN_GROWTH,2025-09-02,,active,19,199
S000404,A000404,PLN_STARTER,2024-06-23,,active,4,49
S000405,A000405,PLN_STARTER,2023-07-13,,active,6,59
S000406,A000406,PLN_GROWTH,2023-03-29,,active,9,199
S000407,A000407,PLN_GROWTH,2024-01-21,,active,13,199
S000408,A000408,PLN_STARTER,2025-02-14,,active,4,49
S000409,A000409,PLN_STARTER,2023-12-01,,active,1,49
S000410,A000410,PLN_STARTER,2025-06-23,,active,1,49
S000411,A000411,PLN_GROWTH,2024-11-11,,active,17,199
S000412,A000412,PLN_GROWTH,2023-11-11,,active,12,199
S000413,A000413,PLN_STARTER,2024-12-19,,active,2,49
S000414,A000414,PLN_STARTER,2025-02-22,,active,1,49
