payment_id,invoice_id,attempted_at,payment_status,amount
SPAY0000046,INV0000047,2024-01-17,succeeded,49
SPAY0000047,INV0000048,2024-02-15,failed,49
SPAY0000048,INV0000048,2024-02-17,succeeded,49
SPAY0000049,INV0000049,2024-03-15,failed,49
SPAY0000050,INV0000049,2024-03-17,succeeded,49
SPAY0000051,INV0000050,2024-04-17,succeeded,49
SPAY0000052,INV0000051,2024-05-17,succeeded,49
SPAY0000053,INV0000052,2024-06-17,succeeded,49
SPAY0000054,INV0000053,2024-07-17,succeeded,49
SPAY0000055,INV0000054,2024-08-17,succeeded,49
SPAY0000056,INV0000055,2024-09-17,succeeded,49
SPAY0000057,INV0000056,2024-10-17,succeeded,49
SPAY0000058,INV0000057,2024-11-15,failed,49
SPAY0000059,INV0000057,2024-11-17,succeeded,49
SPAY0000060,INV0000058,2024-12-15,failed,49
SPAY0000061,INV0000058,2024-12-17,succeeded,49
SPAY0000062,INV0000059,2025-01-17,succeeded,49
SPAY0000063,INV0000060,2025-02-17,succeeded,49
SPAY0000064,INV0000061,2025-03-17,succeeded,49
SPAY0000065,INV0000062,2025-04-17,succeeded,49
SPAY0000066,INV0000063,2025-05-17,succeeded,49
SPAY0000067,INV0000064,2025-06-17,succeeded,49
SPAY0000068,INV0000065,2025-07-17,succeeded,49
SPAY0000069,INV0000066,2025-08-17,succeeded,49
SPAY0000070,INV0000067,2025-09-17,succeeded,49
SPAY0000071,INV0000068,2025-10-15,failed,49
SPAY0000072,INV0000068,2025-10-17,succeeded,49
SPAY0000073,INV0000069,2025-11-17,succeeded,49
SPAY0000074,INV0000071,2025-10-03,succeeded,799
SPAY0000075,INV0000072,2025-10-29,failed,799
SPAY0000076,INV0000072,2025-10-31,succeeded,799
SPAY0000077,INV0000073,2025-12-01,succeeded,799
SPAY0000078,INV0000075,2024-08-28,succeeded,59
SPAY0000079,INV0000076,2024-09-28,succeeded,59
SPAY0000080,INV0000077,2024-10-28,succeeded,59
SPAY0000081,INV0000078,2024-11-28,succeeded,59
SPAY0000082,INV0000079,2024-12-28,succeeded,59
SPAY0000083,INV0000080,2025-01-28,succeeded,59
SPAY0000084,INV0000081,2025-02-28,succeeded,59
SPAY0000085,INV0000082,2025-03-28,succeeded,59
SPAY0000086,INV0000083,2025-04-28,succeeded,59
SPAY0000087,INV0000084,2025-05-28,succeeded,59
SPAY0000088,INV0000085,2025-06-28,succeeded,59
SPAY0000089,INV0000086,2025-07-28,succeeded,59
SPAY0000090,INV0000087,2025-08-28,succeeded,59
SPAY0000091,INV0000088,2023-11-04,succeeded,199
SPAY0000092,INV0000089,2023-12-04,succeeded,199
SPAY0000093,INV0000090,2024-01-04,succeeded,199
SPAY0000094,INV0000091,2024-02-04,succeeded,199
SPAY0000095,INV0000092,2024-03-04,succeeded,199
SPAY0000096,INV0000093,2024-04-04,succeeded,199
SPAY0000097,INV0000094,2024-05-02,failed,199
SPAY0000098,INV0000094,2024-05-04,succeeded,199
SPAY0000099,INV0000095,2024-06-04,succeeded,199
SPAY0000100,INV0000096,2024-07-04,succeeded,199
SPAY0000101,INV0000097,2024-08-04,succeeded,199
SPAY0000102,INV0000098,2024-09-04,succeeded,199
SPAY0000103,INV0000099,2024-10-02,failed,199
SPAY0000104,INV0000099,2024-10-04,succeeded,199
SPAY0000105,INV0000100,2024-11-04,succeeded,199
SPAY0000106,INV0000101,2024-12-04,succeeded,199
SPAY0000107,INV0000102,2025-01-04,succeeded,199
SPAY0000108,INV0000103,2025-02-04,succeeded,199
SPAY0000109,INV0000104,2025-03-04,succeeded,199
SPAY0000110,INV0000105,2025-04-04,succeeded,199
SPAY0000111,INV0000106,2024-08-24,succeeded,59
SPAY0000112,INV0000107,2024-09-24,succeeded,59
SPAY0000113,INV0000108,2024-10-24,succeeded,59
SPAY0000114,INV0000109,2024-11-24,succeeded,59
SPAY0000115,INV0000110,2024-12-24,succeeded,59
SPAY0000116,INV0000111,2025-01-24,succeeded,59
SPAY0000117,INV0000112,2025-02-24,succeeded,59
SPAY0000118,INV0000113,2025-03-24,succeeded,59
SPAY0000119,INV0000114,2025-04-24,succeeded,59
SPAY0000120,INV0000115,2025-05-22,failed,59
SPAY0000121,INV0000115,2025-05-24,succeeded,59
SPAY0000122,INV0000116,2025-06-22,failed,59
SPAY0000123,INV0000116,2025-06-24,succeeded,59
SPAY0000124,INV0000117,2025-07-24,succeeded,59
SPAY0000125,INV0000118,2025-08-24,succeeded,59
SPAY0000126,INV0000119,2025-09-24,succeeded,59
SPAY0000127,INV0000121,2025-11-24,succeeded,59
SPAY0000128,INV0000123,2024-08-23,succeeded,199
SPAY0000129,INV0000124,2024-09-21,failed,199
SPAY0000130,INV0000124,2024-09-23,succeeded,199
SPAY0000131,INV0000125,2024-10-23,succeeded,199
SPAY0000132,INV0000126,2024-11-23,succeeded,199
SPAY0000133,INV0000127,2024-12-23,succeeded,199
SPAY0000134,INV0000128,2024-01-11,succeeded,199
SPAY0000135,INV0000129,2024-02-11,succeeded,199
SPAY0000136,INV0000130,2024-03-11,succeeded,199
SPAY0000137,INV0000131,2024-04-11,succeeded,199
SPAY0000138,INV0000132,2024-05-11,succeeded,199
SPAY0000139,INV0000133,2024-06-11,succeeded,199
SPAY0000140,INV0000134,2024-07-11,succeeded,199
SPAY0000141,INV0000136,2024-09-11,succeeded,199
SPAY0000142,INV0000137,2024-10-11,succeeded,199
SPAY0000143,INV0000138,2024-11-11,succeeded,199
SPAY0000144,INV0000139,2024-12-11,succeeded,199
SPAY0000145,INV0000140,2025-01-11,succeeded,199
SPAY0000146,INV0000141,2025-02-11,succeeded,199
SPAY0000147,INV0000142,2025-03-11,succeeded,199
SPAY0000148,INV0000143,2025-04-11,succeeded,199
SPAY0000149,INV0000144,2025-05-11,succeeded,199
SPAY0000150,INV0000145,2025-06-11,succeeded,199
SPAY0000151,INV0000146,2025-07-11,succeeded,199
SPAY0000152,INV0000148,2025-09-11,succeeded,199
SPAY0000153,INV0000149,2025-10-09,failed,199
SPAY0000154,INV0000149,2025-10-11,succeeded,199
SPAY0000155,INV0000150,2025-11-11,succeeded,199
SPAY0000156,INV0000152,2025-07-19,succeeded,49
SPAY0000157,INV0000153,2025-08-19,succeeded,49
SPAY0000158,INV0000154,2025-09-19,succeeded,49
SPAY0000159,INV0000155,2025-10-19,succeeded,49
SPAY0000160,INV0000158,2024-12-31,succeeded,49
SPAY0000161,INV0000159,2025-01-31,succeeded,49
SPAY0000162,INV0000160,2025-03-03,succeeded,49
SPAY0000163,INV0000161,2025-03-29,failed,49
SPAY0000164,INV0000161,2025-03-31,succeeded,49
SPAY0000165,INV0000162,2025-05-01,succeeded,49
SPAY0000166,INV0000164,2025-07-01,succeeded,49
SPAY0000167,INV0000165,2025-07-31,succeeded,49
SPAY0000168,INV0000166,2025-08-31,succeeded,49
SPAY0000169,INV0000167,2025-09-29,failed,49
SPAY0000170,INV0000167,2025-10-01,succeeded,49
SPAY0000171,INV0000168,2025-10-31,succeeded,49
SPAY0000172,INV0000169,2025-12-01,succeeded,49
SPAY0000173,INV0000171,2024-10-13,succeeded,799
SPAY0000174,INV0000172,2024-11-13,succeeded,799
SPAY0000175,INV0000173,2024-12-13,succeeded,799
SPAY0000176,INV0000174,2025-01-13,succeeded,799
SPAY0000177,INV0000175,2025-02-13,succeeded,799
SPAY0000178,INV0000176,2025-03-13,succeeded,799
SPAY0000179,INV0000177,2025-04-13,succeeded,799
SPAY0000180,INV0000178,2025-05-13,succeeded,799
SPAY0000181,INV0000179,2025-06-13,succeeded,799
SPAY0000182,INV0000180,2025-07-13,succeeded,799
SPAY0000183,INV0000181,2025-08-13,succeeded,799
SPAY0000184,INV0000182,2025-09-13,succeeded,799
SPAY0000185,INV0000183,2025-10-13,succeeded,799
SPAY0000186,INV0000184,2025-11-13,succeeded,799
SPAY0000187,INV0000186,2023-12-12,succeeded,49
SPAY0000188,INV0000187,2024-01-12,succeeded,49
SPAY0000189,INV0000188,2024-02-10,failed,49
SPAY0000190,INV0000188,2024-02-12,succeeded,49
SPAY0000191,INV0000189,2024-03-12,succeeded,49
SPAY0000192,INV0000190,2024-04-12,succeeded,49
SPAY0000193,INV0000191,2024-05-12,succeeded,49
SPAY0000194,INV0000192,2024-06-12,succeeded,49
SPAY0000195,INV0000193,2024-07-12,succeeded,49
SPAY0000196,INV0000194,2024-08-12,succeeded,49
SPAY0000197,INV0000195,2024-09-12,succeeded,49
SPAY0000198,INV0000196,2024-10-12,succeeded,49
SPAY0000199,INV0000197,2024-11-12,succeeded,49
SPAY0000200,INV0000198,2024-12-12,succeeded,49
SPAY0000201,INV0000199,2025-01-12,succeeded,49
SPAY0000202,INV0000200,2025-02-12,succeeded,49
SPAY0000203,INV0000201,2025-03-12,succeeded,49
SPAY0000204,INV0000202,2025-04-12,succeeded,49
SPAY0000205,INV0000203,2025-05-12,succeeded,49
SPAY0000206,INV0000204,2025-06-12,succeeded,49
SPAY0000207,INV0000205,2025-07-12,succeeded,49
SPAY0000208,INV0000206,2025-08-12,succeeded,49
SPAY0000209,INV0000207,2025-09-12,succeeded,49
SPAY0000210,INV0000208,2025-10-10,failed,49
SPAY0000211,INV0000208,2025-10-12,succeeded,49
SPAY0000212,INV0000209,2025-11-12,succeeded,49
SPAY0000213,INV0000211,2024-05-13,succeeded,207
SPAY0000214,INV0000212,2024-06-13,succeeded,207
SPAY0000215,INV0000213,2024-07-13,succeeded,207
SPAY0000216,INV0000214,2024-08-13,succeeded,207
SPAY0000217,INV0000215,2024-09-13,succeeded,207
SPAY0000218,INV0000216,2024-10-11,failed,207
SPAY0000219,INV0000216,2024-10-13,succeeded,207
SPAY0000220,INV0000217,2024-11-13,succeeded,207
SPAY0000221,INV0000218,2024-12-13,succeeded,207
SPAY0000222,INV0000219,2025-01-13,succeeded,207
SPAY0000223,INV0000220,2025-02-13,succeeded,207
SPAY0000224,INV0000221,2025-03-13,succeeded,207
SPAY0000225,INV0000222,2025-04-13,succeeded,207
SPAY0000226,INV0000223,2025-05-13,succeeded,207
SPAY0000227,INV0000224,2025-06-13,succeeded,207
SPAY0000228,INV0000225,2025-07-13,succeeded,207
SPAY0000229,INV0000226,2025-08-13,succeeded,207
SPAY0000230,INV0000227,2025-09-13,succeeded,207
SPAY0000231,INV0000228,2025-10-13,succeeded,207
SPAY0000232,INV0000229,2025-11-13,succeeded,207
SPAY0000233,INV0000231,2023-04-29,succeeded,49
SPAY0000234,INV0000232,2023-05-29,succeeded,49
SPAY0000235,INV0000234,2023-07-29,succeeded,49
SPAY0000236,INV0000235,2023-08-29,succeeded,49
SPAY0000237,INV0000236,2023-09-29,succeeded,49
SPAY0000238,INV0000237,2023-10-29,succeeded,49
SPAY0000239,INV0000238,2023-11-29,succeeded,49
SPAY0000240,INV0000239,2023-12-29,succeeded,49
SPAY0000241,INV0000240,2024-10-02,succeeded,199
SPAY0000242,INV0000241,2024-10-31,succeeded,199
SPAY0000243,INV0000242,2024-12-01,succeeded,199
SPAY0000244,INV0000243,2024-12-29,failed,199
SPAY0000245,INV0000243,2024-12-31,succeeded,199
SPAY0000246,INV0000244,2025-01-29,failed,199
SPAY0000247,INV0000244,2025-01-31,succeeded,199
SPAY0000248,INV0000245,2025-03-03,succeeded,199
SPAY0000249,INV0000246,2025-03-31,succeeded,199
SPAY0000250,INV0000247,2025-05-01,succeeded,199
SPAY0000251,INV0000248,2025-05-29,failed,199
SPAY0000252,INV0000248,2025-05-31,succeeded,199
SPAY0000253,INV0000249,2025-07-01,succeeded,199
SPAY0000254,INV0000250,2025-07-29,failed,199
SPAY0000255,INV0000250,2025-07-31,succeeded,199
SPAY0000256,INV0000251,2025-08-31,succeeded,199
SPAY0000257,INV0000252,2025-10-01,succeeded,199
SPAY0000258,INV0000253,2025-10-31,succeeded,199
SPAY0000259,INV0000254,2025-12-01,succeeded,199
SPAY0000260,INV0000256,2024-11-18,succeeded,199
SPAY0000261,INV0000257,2024-12-18,succeeded,199
SPAY0000262,INV0000258,2025-01-18,succeeded,199
SPAY0000263,INV0000259,2025-02-18,succeeded,199
SPAY0000264,INV0000260,2025-03-18,succeeded,199
SPAY0000265,INV0000261,2025-04-18,succeeded,199
SPAY0000266,INV0000262,2025-05-18,succeeded,199
SPAY0000267,INV0000263,2025-06-18,succeeded,199
SPAY0000268,INV0000264,2025-07-18,succeeded,199
SPAY0000269,INV0000265,2025-08-18,succeeded,199
SPAY0000270,INV0000266,2025-09-18,succeeded,199
SPAY0000271,INV0000267,2025-10-18,succeeded,199
SPAY0000272,INV0000268,2025-11-18,succeeded,199
SPAY0000273,INV0000270,2025-03-01,succeeded,49
SPAY0000274,INV0000271,2025-03-29,succeeded,49
SPAY0000275,INV0000272,2025-04-27,failed,49
SPAY0000276,INV0000272,2025-04-29,succeeded,49
SPAY0000277,INV0000273,2025-05-29,succeeded,49
SPAY0000278,INV0000274,2025-06-29,succeeded,49
SPAY0000279,INV0000275,2025-07-27,failed,49
SPAY0000280,INV0000275,2025-07-29,succeeded,49
SPAY0000281,INV0000276,2025-08-29,succeeded,49
SPAY0000282,INV0000277,2025-09-29,succeeded,49
SPAY0000283,INV0000278,2025-10-29,succeeded,49
SPAY0000284,INV0000279,2025-11-29,succeeded,49
SPAY0000285,INV0000281,2023-05-22,failed,799
SPAY0000286,INV0000281,2023-05-24,succeeded,799
SPAY0000287,INV0000282,2023-06-24,succeeded,799
SPAY0000288,INV0000283,2023-07-24,succeeded,799
SPAY0000289,INV0000284,2023-08-24,succeeded,799
SPAY0000290,INV0000285,2023-09-24,succeeded,799
SPAY0000291,INV0000286,2023-10-24,succeeded,799
SPAY0000292,INV0000287,2023-11-24,succeeded,799
SPAY0000293,INV0000288,2023-12-24,succeeded,799
SPAY0000294,INV0000289,2024-01-24,succeeded,799
SPAY0000295,INV0000290,2024-02-24,succeeded,799
SPAY0000296,INV0000291,2024-03-24,succeeded,799
SPAY0000297,INV0000292,2024-04-24,succeeded,799
SPAY0000298,INV0000293,2024-05-24,succeeded,799
SPAY0000299,INV0000294,2024-06-24,succeeded,799
SPAY0000300,INV0000295,2024-07-24,succeeded,799
SPAY0000301,INV0000297,2024-09-24,succeeded,799
SPAY0000302,INV0000298,2024-10-24,succeeded,799
SPAY0000303,INV0000299,2024-11-22,failed,799
SPAY0000304,INV0000299,2024-11-24,succeeded,799
SPAY0000305,INV0000300,2024-12-24,succeeded,799
SPAY0000306,INV0000301,2025-01-24,succeeded,799
SPAY0000307,INV0000302,2025-02-24,succeeded,799
SPAY0000308,INV0000304,2025-04-22,failed,799
SPAY0000309,INV0000304,2025-04-24,succeeded,799
SPAY0000310,INV0000305,2025-05-24,succeeded,799
SPAY0000311,INV0000306,2025-06-24,succeeded,799
SPAY0000312,INV0000307,2025-07-24,succeeded,799
SPAY0000313,INV0000308,2025-08-24,succeeded,799
SPAY0000314,INV0000309,2025-09-24,succeeded,799
SPAY0000315,INV0000310,2025-10-24,succeeded,799
SPAY0000316,INV0000311,2025-11-24,succeeded,799
SPAY0000317,INV0000313,2023-10-04,succeeded,49
SPAY0000318,INV0000315,2023-12-04,succeeded,49
SPAY0000319,INV0000316,2024-01-04,succeeded,49
SPAY0000320,INV0000317,2024-02-02,failed,49
SPAY0000321,INV0000317,2024-02-04,succeeded,49
SPAY0000322,INV0000318,2025-06-04,succeeded,799
SPAY0000323,INV0000319,2025-07-02,failed,799
SPAY0000324,INV0000319,2025-07-04,succeeded,799
SPAY0000325,INV0000320,2025-08-04,succeeded,799
SPAY0000326,INV0000321,2025-09-04,succeeded,799
SPAY0000327,INV0000322,2025-10-04,succeeded,799
SPAY0000328,INV0000323,2025-11-04,succeeded,799
SPAY0000329,INV0000325,2025-06-15,failed,2499
SPAY0000330,INV0000325,2025-06-17,succeeded,2499
SPAY0000331,INV0000326,2025-07-17,succeeded,2499
SPAY0000332,INV0000327,2025-08-17,succeeded,2499
SPAY0000333,INV0000328,2025-09-17,succeeded,2499
SPAY0000334,INV0000329,2025-10-17,succeeded,2499
SPAY0000335,INV0000330,2025-11-17,succeeded,2499
SPAY0000336,INV0000332,2023-06-02,succeeded,207
SPAY0000337,INV0000333,2023-07-01,succeeded,207
SPAY0000338,INV0000334,2023-07-31,succeeded,207
SPAY0000339,INV0000335,2023-08-31,succeeded,207
SPAY0000340,INV0000336,2023-10-01,succeeded,207
SPAY0000341,INV0000337,2023-10-31,succeeded,207
SPAY0000342,INV0000338,2023-12-01,succeeded,207
SPAY0000343,INV0000339,2023-12-31,succeeded,207
SPAY0000344,INV0000340,2024-01-31,succeeded,207
SPAY0000345,INV0000341,2024-03-02,succeeded,207
SPAY0000346,INV0000342,2024-03-31,succeeded,207
SPAY0000347,INV0000343,2024-05-01,succeeded,207
SPAY0000348,INV0000344,2024-05-29,failed,207
SPAY0000349,INV0000344,2024-05-31,succeeded,207
SPAY0000350,INV0000345,2024-07-01,succeeded,207
SPAY0000351,INV0000346,2024-07-31,succeeded,207
SPAY0000352,INV0000347,2024-10-05,succeeded,199
SPAY0000353,INV0000348,2024-11-05,succeeded,199
SPAY0000354,INV0000349,2024-12-05,succeeded,199
SPAY0000355,INV0000350,2025-01-05,succeeded,199
SPAY0000356,INV0000351,2025-02-05,succeeded,199
SPAY0000357,INV0000352,2025-03-05,succeeded,199
SPAY0000358,INV0000353,2025-04-05,succeeded,199
SPAY0000359,INV0000354,2025-05-05,succeeded,199
SPAY0000360,INV0000355,2025-06-05,succeeded,199
SPAY0000361,INV0000356,2025-07-05,succeeded,199
SPAY0000362,INV0000357,2025-08-03,failed,199
SPAY0000363,INV0000357,2025-08-05,succeeded,199
SPAY0000364,INV0000358,2025-09-05,succeeded,199
SPAY0000365,INV0000359,2025-10-05,succeeded,199
SPAY0000366,INV0000360,2025-11-05,succeeded,199
SPAY0000367,INV0000362,2023-06-18,succeeded,199
SPAY0000368,INV0000363,2023-07-18,succeeded,199
SPAY0000369,INV0000364,2023-08-18,succeeded,199
SPAY0000370,INV0000365,2023-09-18,succeeded,199
SPAY0000371,INV0000366,2023-10-16,failed,199
SPAY0000372,INV0000366,2023-10-18,succeeded,199
SPAY0000373,INV0000367,2023-11-18,succeeded,199
SPAY0000374,INV0000368,2023-12-18,succeeded,199
SPAY0000375,INV0000369,2023-03-06,succeeded,49
SPAY0000376,INV0000370,2023-04-06,succeeded,49
SPAY0000377,INV0000371,2023-05-06,succeeded,49
SPAY0000378,INV0000372,2023-06-06,succeeded,49
SPAY0000379,INV0000373,2023-07-06,succeeded,49
SPAY0000380,INV0000374,2023-08-06,succeeded,49
SPAY0000381,INV0000375,2023-09-06,succeeded,49
SPAY0000382,INV0000376,2023-10-06,succeeded,49
SPAY0000383,INV0000377,2023-11-06,succeeded,49
SPAY0000384,INV0000378,2023-12-04,failed,49
SPAY0000385,INV0000378,2023-12-06,succeeded,49
SPAY0000386,INV0000379,2024-01-06,succeeded,49
SPAY0000387,INV0000380,2024-02-06,succeeded,49
SPAY0000388,INV0000381,2024-03-06,succeeded,49
SPAY0000389,INV0000382,2024-04-06,succeeded,49
SPAY0000390,INV0000383,2024-05-04,failed,49
SPAY0000391,INV0000383,2024-05-06,succeeded,49
SPAY0000392,INV0000384,2024-06-06,succeeded,49
SPAY0000393,INV0000385,2024-07-06,succeeded,49
SPAY0000394,INV0000386,2024-08-06,succeeded,49
SPAY0000395,INV0000387,2024-09-06,succeeded,49
SPAY0000396,INV0000388,2024-10-06,succeeded,49
SPAY0000397,INV0000389,2024-11-06,succeeded,49
SPAY0000398,INV0000390,2024-12-06,succeeded,49
SPAY0000399,INV0000391,2025-01-06,succeeded,49
SPAY0000400,INV0000392,2025-02-06,succeeded,49
SPAY0000401,INV0000393,2025-03-06,succeeded,49
SPAY0000402,INV0000394,2025-04-06,succeeded,49
SPAY0000403,INV0000395,2025-05-04,failed,49
SPAY0000404,INV0000395,2025-05-06,succeeded,49
SPAY0000405,INV0000396,2025-06-06,succeeded,49
SPAY0000406,INV0000397,2025-07-06,succeeded,49
SPAY0000407,INV0000398,2025-08-06,succeeded,49
SPAY0000408,INV0000399,2025-09-06,succeeded,49
SPAY0000409,INV0000400,2025-10-06,succeeded,49
SPAY0000410,INV0000401,2025-11-06,succeeded,49
SPAY0000411,INV0000403,2025-08-21,succeeded,199
SPAY0000412,INV0000404,2025-09-21,succeeded,199
SPAY0000413,INV0000405,2025-10-21,succeeded,199
SPAY0000414,INV0000406,2025-11-19,failed,199
SPAY0000415,INV0000406,2025-11-21,succeeded,199
SPAY0000416,INV0000407,2025-12-19,failed,199
SPAY0000417,INV0000408,2024-04-27,succeeded,871
SPAY0000418,INV0000409,2024-05-27,succeeded,871
SPAY0000419,INV0000410,2024-06-27,succeeded,871
SPAY0000420,INV0000411,2024-07-25,failed,871
SPAY0000421,INV0000411,2024-07-27,succeeded,871
SPAY0000422,INV0000412,2024-08-25,failed,871
SPAY0000423,INV0000412,2024-08-27,succeeded,871
SPAY0000424,INV0000413,2024-09-27,succeeded,871
SPAY0000425,INV0000414,2024-10-25,failed,871
SPAY0000426,INV0000414,2024-10-27,succeeded,871
SPAY0000427,INV0000415,2024-11-27,succeeded,871
SPAY0000428,INV0000416,2024-12-27,succeeded,871
SPAY0000429,INV0000417,2025-01-25,failed,871
SPAY0000430,INV0000417,2025-01-27,succeeded,871
SPAY0000431,INV0000418,2025-02-27,succeeded,871
SPAY0000432,INV0000419,2025-03-27,succeeded,871
SPAY0000433,INV0000420,2025-04-27,succeeded,871
SPAY0000434,INV0000421,2025-05-27,succeeded,871
SPAY0000435,INV0000422,2025-06-25,failed,871
SPAY0000436,INV0000422,2025-06-27,succeeded,871
SPAY0000437,INV0000423,2025-07-27,succeeded,871
SPAY0000438,INV0000424,2025-08-27,succeeded,871
SPAY0000439,INV0000425,2025-09-27,succeeded,871
SPAY0000440,INV0000426,2025-10-27,succeeded,871
SPAY0000441,INV0000427,2025-11-27,succeeded,871
SPAY0000442,INV0000429,2023-10-29,succeeded,199
SPAY0000443,INV0000430,2023-11-29,succeeded,199
SPAY0000444,INV0000431,2023-12-29,succeeded,199
SPAY0000445,INV0000432,2024-01-27,failed,199
SPAY0000446,INV0000432,2024-01-29,succeeded,199
SPAY0000447,INV0000433,2024-02-29,succeeded,199
SPAY0000448,INV0000434,2024-03-29,succeeded,199
SPAY0000449,INV0000435,2024-04-27,failed,199
SPAY0000450,INV0000435,2024-04-29,succeeded,199
SPAY0000451,INV0000436,2024-05-29,succeeded,199
SPAY0000452,INV0000437,2024-06-29,succeeded,199
SPAY0000453,INV0000438,2024-07-29,succeeded,199
SPAY0000454,INV0000439,2024-08-29,succeeded,199
SPAY0000455,INV0000440,2024-09-29,succeeded,199
SPAY0000456,INV0000441,2024-10-29,succeeded,199
SPAY0000457,INV0000442,2024-11-29,succeeded,199
SPAY0000458,INV0000443,2024-12-29,succeeded,199
SPAY0000459,INV0000444,2025-01-29,succeeded,199
SPAY0000460,INV0000445,2025-02-27,failed,199
SPAY0000461,INV0000445,2025-03-01,succeeded,199
SPAY0000462,INV0000446,2025-03-29,succeeded,199
SPAY0000463,INV0000447,2025-04-29,succeeded,199
SPAY0000464,INV0000448,2025-05-27,failed,199
SPAY0000465,INV0000448,2025-05-29,succeeded,199
SPAY0000466,INV0000449,2025-06-27,failed,199
SPAY0000467,INV0000450,2025-07-29,succeeded,199
SPAY0000468,INV0000451,2025-08-27,failed,199
SPAY0000469,INV0000451,2025-08-29,succeeded,199
SPAY0000470,INV0000452,2025-09-29,succeeded,199
SPAY0000471,INV0000453,2025-10-29,succeeded,199
SPAY0000472,INV0000454,2025-11-29,succeeded,199
SPAY0000473,INV0000456,2024-12-06,succeeded,49
SPAY0000474,INV0000457,2025-01-06,succeeded,49
SPAY0000475,INV0000458,2025-02-06,succeeded,49
SPAY0000476,INV0000459,2025-03-04,failed,49
SPAY0000477,INV0000459,2025-03-06,succeeded,49
SPAY0000478,INV0000461,2025-05-06,succeeded,49
SPAY0000479,INV0000462,2025-06-06,succeeded,49
SPAY0000480,INV0000463,2025-07-06,succeeded,49
SPAY0000481,INV0000464,2025-08-06,succeeded,49
SPAY0000482,INV0000465,2025-09-04,failed,49
SPAY0000483,INV0000465,2025-09-06,succeeded,49
SPAY0000484,INV0000466,2025-10-06,succeeded,49
SPAY0000485,INV0000467,2025-11-06,succeeded,49
SPAY0000486,INV0000469,2025-08-26,succeeded,49
SPAY0000487,INV0000470,2025-09-26,succeeded,49
SPAY0000488,INV0000471,2025-10-26,succeeded,49
SPAY0000489,INV0000472,2025-11-26,succeeded,49
SPAY0000490,INV0000474,2025-01-12,succeeded,49
SPAY0000491,INV0000475,2025-02-12,succeeded,49
SPAY0000492,INV0000477,2025-04-12,succeeded,49
SPAY0000493,INV0000478,2025-05-12,succeeded,49
SPAY0000494,INV0000479,2025-06-12,succeeded,49
SPAY0000495,INV0000480,2025-07-12,succeeded,49
SPAY0000496,INV0000481,2025-08-12,succeeded,49
SPAY0000497,INV0000482,2025-09-12,succeeded,49
SPAY0000498,INV0000483,2025-10-12,succeeded,49
SPAY0000499,INV0000484,2025-11-12,succeeded,49
SPAY0000500,INV0000485,2025-12-10,failed,49
SPAY0000501,INV0000486,2024-05-08,succeeded,49
