account_id,created_at,region,segment,acquisition_channel
A000103,2024-05-25,NA,SMB,organic
A000104,2024-03-02,EMEA,SMB,outbound
A000105,2025-05-04,APAC,SMB,referral
A000106,2024-03-27,APAC,mid_market,outbound
A000107,2025-09-07,EMEA,mid_market,paid_search
A000108,2023-09-15,EMEA,SMB,paid_search
A000109,2025-08-07,LATAM,SMB,outbound
A000110,2025-07-22,NA,SMB,partner
A000111,2023-08-26,APAC,SMB,partner
A000112,2025-09-20,EMEA,SMB,organic
A000113,2025-06-24,EMEA,SMB,organic
A000114,2024-01-23,EMEA,SMB,paid_search
A000115,2024-04-20,NA,SMB,referral
A000116,2024-03-06,LATAM,mid_market,organic
A000117,2024-03-13,EMEA,SMB,referral
A000118,2023-03-26,EMEA,SMB,referral
A000119,2023-03-18,LATAM,SMB,partner
A000120,2023-10-17,EMEA,SMB,outbound
A000121,2024-01-22,APAC,SMB,outbound
A000122,2024-03-01,APAC,SMB,organic
A000123,2024-03-18,NA,SMB,partner
A000124,2023-01-31,EMEA,SMB,referral
A000125,2024-07-08,APAC,SMB,referral
A000126,2024-07-04,EMEA,SMB,outbound
A000127,2024-01-25,EMEA,mid_market,organic
A000128,2025-03-09,LATAM,SMB,paid_search
A000129,2025-03-30,LATAM,SMB,organic
A000130,2025-02-24,EMEA,mid_market,paid_search
A000131,2024-12-16,EMEA,SMB,paid_search
A000132,2024-04-18,APAC,SMB,referral
A000133,2023-07-02,NA,mid_market,paid_search
A000134,2025-04-18,LATAM,SMB,organic
A000135,2023-08-21,NA,mid_market,organic
A000136,2024-04-30,NA,SMB,outbound
A000137,2023-09-13,APAC,SMB,outbound
A000138,2023-04-16,NA,mid_market,outbound
A000139,2023-11-14,EMEA,SMB,paid_search
A000140,2025-06-14,NA,SMB,paid_search
A000141,2024-11-02,LATAM,mid_market,referral
A000142,2024-09-29,NA,SMB,outbound
A000143,2023-09-26,EMEA,SMB,paid_search
A000144,2023-11-28,NA,SMB,outbound
A000145,2024-09-11,LATAM,SMB,referral
A000146,2023-07-12,EMEA,SMB,organic
A000147,2025-03-15,EMEA,SMB,outbound
A000148,2023-02-06,EMEA,mid_market,referral
A000149,2025-01-30,APAC,mid_market,partner
A000150,2024-05-14,APAC,SMB,paid_search
A000151,2025-08-09,LATAM,mid_market,paid_search
A000152,2024-07-10,NA,mid_market,partner
A000153,2023-12-28,NA,SMB,outbound
A000154,2023-11-08,EMEA,SMB,paid_search
A000155,2024-06-02,APAC,SMB,paid_search
A000156,2023-07-16,EMEA,SMB,outbound
A000157,2023-07-15,APAC,SMB,outbound
A000158,2024-09-22,NA,mid_market,paid_search
A000159,2024-10-10,EMEA,mid_market,organic
A000160,2025-09-07,NA,SMB,paid_search
A000161,2025-07-09,APAC,SMB,organic
A000162,2024-05-11,APAC,SMB,outbound
A000163,2025-07-06,NA,SMB,organic
A000164,2023-02-06,LATAM,mid_market,outbound
A000165,2023-10-22,APAC,SMB,referral
A000166,2024-07-19,EMEA,mid_market,organic
A000167,2023-10-27,EMEA,mid_market,referral
A000168,2023-02-17,NA,enterprise,outbound
A000169,2025-05-06,EMEA,SMB,partner
A000170,2025-09-08,EMEA,mid_market,outbound
A000171,2024-08-15,NA,SMB,outbound
A000172,2023-04-23,EMEA,SMB,paid_search
A000173,2023-01-16,NA,SMB,paid_search
A000174,2023-04-10,NA,mid_market,referral
A000175,2023-06-16,LATAM,SMB,paid_search
A000176,2023-06-17,EMEA,mid_market,organic
A000177,2024-11-04,EMEA,SMB,outbound
A000178,2024-08-05,LATAM,mid_market,referral
A000179,2024-05-03,NA,SMB,outbound
A000180,2023-08-12,EMEA,SMB,partner
A000181,2024-02-29,APAC,SMB,paid_search
A000182,2025-02-28,APAC,SMB,partner
A000183,2025-01-17,APAC,mid_market,paid_search
A000184,2024-05-15,EMEA,SMB,paid_search
A000185,2025-06-10,NA,SMB,referral
A000186,2025-07-07,EMEA,SMB,partner
A000187,2023-08-02,APAC,SMB,paid_search
A000188,2025-03-11,LATAM,SMB,referral
A000189,2023-06-10,EMEA,SMB,partner
A000190,2025-03-03,EMEA,SMB,outbound
A000191,2024-02-16,NA,SMB,organic
A000192,2024-11-10,LATAM,SMB,organic
A000193,2024-10-01,APAC,SMB,partner
A000194,2023-07-02,APAC,mid_market,organic
A000195,2025-08-08,NA,SMB,paid_search
A000196,2024-11-06,LATAM,SMB,referral
A000197,2023-12-02,APAC,SMB,referral
A000198,2023-09-06,NA,mid_market,partner
A000199,2025-07-06,APAC,SMB,paid_search
A000200,2025-08-31,LATAM,SMB,referral
A000201,2023-03-19,NA,mid_market,partner
A000202,2024-04-29,APAC,mid_market,outbound
A000203,2023-08-13,EMEA,SMB,partner
A000204,2025-03-19,APAC,SMB,referral
A000205,2023-01-17,APAC,SMB,partner
A000206,2023-01-14,LATAM,SMB,paid_search
A000207,2024-09-27,EMEA,SMB,partner
A000208,2023-12-11,NA,enterprise,organic
A000209,2023-02-12,NA,SMB,referral
A000210,2024-01-02,NA,SMB,partner
A000211,2024-09-21,LATAM,SMB,outbound
A000212,2025-03-11,NA,SMB,referral
A000213,2025-07-29,NA,SMB,outbound
A000214,2024-03-08,EMEA,SMB,outbound
A000215,2024-10-16,LATAM,SMB,outbound
A000216,2025-03-30,LATAM,SMB,organic
A000217,2025-07-10,EMEA,mid_market,outbound
A000218,2025-03-22,EMEA,SMB,referral
A000219,2023-01-23,LATAM,mid_market,paid_search
A000220,2023-06-12,EMEA,mid_market,paid_search
A000221,2024-04-14,LATAM,SMB,referral
A000222,2024-03-14,APAC,SMB,organic
A000223,2023-09-02,EMEA,SMB,paid_search
A000224,2023-01-24,LATAM,SMB,referral
A000225,2025-03-18,LATAM,SMB,outbound
A000226,2024-01-21,APAC,SMB,outbound
A000227,2025-03-10,EMEA,SMB,outbound
A000228,2023-01-08,NA,mid_market,partner
A000229,2024-03-29,EMEA,mid_market,referral
A000230,2023-04-26,NA,SMB,outbound
A000231,2023-10-25,NA,SMB,organic
A000232,2024-12-14,NA,SMB,outbound
A000233,2024-11-12,LATAM,SMB,partner
A000234,2023-09-26,APAC,SMB,organic
A000235,2025-08-17,EMEA,SMB,outbound
A000236,2024-03-30,LATAM,mid_market,partner
A000237,2023-01-20,EMEA,SMB,partner
A000238,2024-03-09,EMEA,SMB,partner
A000239,2025-07-05,NA,mid_market,referral
A000240,2023-09-07,EMEA,SMB,referral
A000241,2024-08-29,EMEA,mid_market,organic
A000242,2023-07-30,EMEA,mid_market,organic
A000243,2023-07-03,APAC,mid_market,paid_search
A000244,2024-06-03,NA,mid_market,organic
A000245,2023-07-07,APAC,mid_market,organic
A000246,2024-04-08,LATAM,mid_market,organic
A000247,2025-07-03,EMEA,SMB,paid_search
A000248,2023-11-25,LATAM,SMB,organic
A000249,2024-05-08,NA,SMB,partner
A000250,2024-08-05,NA,SMB,paid_search
A000251,2024-09-16,EMEA,mid_market,organic
A000252,2025-04-26,APAC,enterprise,paid_search
A000253,2024-05-11,LATAM,SMB,partner
A000254,2024-09-22,LATAM,SMB,partner
A000255,2023-09-30,NA,mid_market,referral
A000256,2025-06-04,APAC,SMB,outbound
A000257,2025-03-18,APAC,SMB,partner
A000258,2023-12-29,EMEA,mid_market,paid_search
A000259,2025-08-05,LATAM,mid_market,organic
A000260,2024-03-01,EMEA,SMB,partner
A000261,2024-11-07,LATAM,SMB,organic
A000262,2025-05-08,APAC,SMB,paid_search
A000263,2023-03-05,APAC,mid_market,referral
A000264,2023-11-22,LATAM,SMB,referral
A000265,2024-01-09,NA,mid_market,referral
A000266,2023-07-24,EMEA,enterprise,referral
A000267,2023-11-18,APAC,SMB,outbound
A000268,2024-06-30,NA,SMB,partner
A000269,2025-04-03,EMEA,mid_market,partner
A000270,2023-04-26,LATAM,mid_market,partner
A000271,2024-04-28,LATAM,SMB,referral
A000272,2024-03-06,EMEA,mid_market,partner
A000273,2023-12-29,EMEA,SMB,outbound
A000274,2023-09-01,LATAM,mid_market,referral
A000275,2023-05-14,APAC,mid_market,referral
A000276,2024-02-17,APAC,SMB,paid_search
A000277,2024-01-02,APAC,mid_market,outbound
A000278,2023-11-02,EMEA,SMB,partner
A000279,2023-09-27,APAC,SMB,organic
A000280,2024-04-12,NA,SMB,outbound
A000281,2024-09-18,NA,mid_market,referral
A000282,2024-12-17,LATAM,mid_market,organic
A000283,2023-09-18,NA,SMB,organic
A000284,2024-11-10,EMEA,mid_market,partner
A000285,2023-04-07,APAC,SMB,referral
A000286,2025-09-22,APAC,SMB,partner
A000287,2025-01-30,APAC,enterprise,paid_search
A000288,2025-06-03,NA,SMB,outbound
A000289,2025-05-01,LATAM,mid_market,organic
A000290,2023-06-26,EMEA,SMB,paid_search
A000291,2025-01-16,APAC,mid_market,outbound
A000292,2023-05-04,APAC,SMB,paid_search
A000293,2025-07-19,EMEA,enterprise,organic
A000294,2024-05-15,LATAM,SMB,partner
A000295,2025-02-12,EMEA,SMB,outbound
A000296,2024-06-02,APAC,mid_market,partner
A000297,2024-07-29,NA,SMB,outbound
A000298,2023-10-05,EMEA,SMB,referral
A000299,2023-02-27,NA,SMB,referral
A000300,2025-03-15,LATAM,SMB,referral
A000301,2023-12-08,NA,SMB,outbound
A000302,2023-12-22,LATAM,SMB,partner
A000303,2023-05-26,NA,SMB,paid_search
A000304,2024-09-23,APAC,SMB,organic
A000305,2024-02-29,LATAM,mid_market,paid_search
A000306,2024-02-02,LATAM,SMB,partner
A000307,2023-11-21,NA,SMB,partner
A000308,2024-07-16,LATAM,SMB,paid_search
A000309,2024-12-23,APAC,enterprise,outbound
A000310,2024-03-06,APAC,SMB,referral
A000311,2023-07-27,NA,mid_market,partner
A000312,2024-04-09,EMEA,mid_market,organic
A000313,2024-01-14,APAC,enterprise,organic
A000314,2023-11-02,LATAM,SMB,partner
A000315,2025-03-12,EMEA,SMB,organic
A000316,2025-08-19,LATAM,SMB,referral
A000317,2025-05-28,LATAM,SMB,outbound
A000318,2023-10-01,LATAM,SMB,organic
A000319,2023-02-27,NA,SMB,paid_search
A000320,2023-03-22,EMEA,SMB,outbound
A000321,2023-06-24,EMEA,SMB,partner
A000322,2023-10-17,NA,enterprise,organic
A000323,2025-07-17,APAC,SMB,partner
A000324,2023-06-01,LATAM,mid_market,outbound
A000325,2023-05-01,EMEA,mid_market,outbound
A000326,2023-06-17,LATAM,SMB,outbound
A000327,2023-11-09,EMEA,mid_market,partner
A000328,2023-10-22,NA,SMB,partner
A000329,2025-01-30,EMEA,SMB,paid_search
A000330,2024-12-01,LATAM,SMB,organic
A000331,2025-07-11,APAC,mid_market,paid_search
A000332,2023-08-28,APAC,mid_market,referral
A000333,2023-08-05,NA,mid_market,paid_search
A000334,2024-02-04,LATAM,SMB,paid_search
A000335,2024-08-24,LATAM,SMB,outbound
A000336,2025-01-19,LATAM,SMB,paid_search
A000337,2023-05-04,NA,SMB,referral
A000338,2024-11-01,LATAM,mid_market,referral
A000339,2023-09-17,NA,SMB,referral
A000340,2024-07-10,NA,SMB,referral
A000341,2024-09-08,APAC,SMB,referral
A000342,2023-12-04,APAC,SMB,paid_search
A000343,2023-04-04,APAC,SMB,paid_search
A000344,2025-05-28,NA,mid_market,organic
A000345,2023-04-10,EMEA,SMB,referral
A000346,2023-10-21,NA,SMB,organic
A000347,2023-09-06,APAC,SMB,outbound
A000348,2023-04-27,NA,mid_market,organic
A000349,2023-03-31,APAC,SMB,referral
A000350,2025-09-12,APAC,mid_market,outbound
A000351,2023-08-20,NA,SMB,outbound
A000352,2024-04-06,APAC,SMB,partner
A000353,2023-08-17,NA,enterprise,outbound
A000354,2025-04-03,EMEA,enterprise,organic
A000355,2024-01-22,EMEA,mid_market,paid_search
A000356,2025-08-19,APAC,SMB,referral
A000357,2023-02-12,APAC,SMB,referral
A000358,2025-02-09,LATAM,SMB,referral
A000359,2025-02-23,APAC,SMB,referral
A000360,2024-10-21,NA,SMB,paid_search
A000361,2024-06-13,NA,mid_market,paid_search
A000362,2024-06-12,NA,SMB,referral
A000363,2025-04-27,APAC,SMB,organic
A000364,2024-05-01,APAC,mid_market,partner
A000365,2024-06-28,EMEA,SMB,referral
A000366,2025-02-26,APAC,SMB,outbound
A000367,2025-07-15,LATAM,mid_market,paid_search
A000368,2023-03-28,NA,mid_market,paid_search
A000369,2025-06-14,NA,SMB,organic
A000370,2025-08-08,NA,SMB,paid_search
A000371,2025-03-24,NA,SMB,outbound
A000372,2023-10-30,LATAM,SMB,organic
A000373,2024-05-18,APAC,SMB,referral
A000374,2025-06-13,EMEA,SMB,organic
A000375,2024-06-26,EMEA,mid_market,organic
A000376,2023-07-24,NA,SMB,outbound
A000377,2024-05-17,EMEA,mid_market,referral
A000378,2024-04-20,APAC,SMB,outbound
A000379,2024-02-21,NA,SMB,paid_search
A000380,2025-08-08,EMEA,enterprise,organic
A000381,2023-11-15,LATAM,mid_market,referral
A000382,2023-04-18,EMEA,mid_market,outbound
A000383,2023-12-24,LATAM,mid_market,partner
A000384,2023-11-20,NA,SMB,referral
A000385,2024-01-23,NA,SMB,outbound
A000386,2024-04-08,LATAM,SMB,paid_search
A000387,2024-03-14,NA,enterprise,referral
A000388,2023-06-16,LATAM,SMB,organic
A000389,2023-12-15,LATAM,SMB,organic
A000390,2023-07-16,LATAM,mid_market,referral
A000391,2023-09-16,EMEA,SMB,referral
A000392,2024-12-12,EMEA,SMB,referral
A000393,2024-05-03,EMEA,SMB,organic
A000394,2025-03-23,EMEA,enterprise,paid_search
A000395,2024-09-20,APAC,SMB,partner
A000396,2023-10-16,LATAM,SMB,outbound
A000397,2023-08-10,LATAM,SMB,referral
A000398,2023-11-17,LATAM,SMB,organic
A000399,2025-04-09,EMEA,SMB,referral
A000400,2023-06-06,APAC,mid_market,outbound
A000401,2025-01-19,APAC,SMB,organic
A000402,2023-04-19,APAC,SMB,paid_search
A000403,2025-08-03,NA,SMB,paid_search
A000404,2024-05-31,LATAM,SMB,outbound
A000405,2023-06-14,LATAM,SMB,outbound
A000406,2023-03-28,LATAM,mid_market,referral
A000407,2024-01-13,NA,mid_market,partner
A000408,2025-02-05,EMEA,SMB,organic
A000409,2023-11-23,APAC,SMB,organic
A000410,2025-06-12,EMEA,SMB,referral
A000411,2024-10-31,LATAM,SMB,referral
A000412,2023-10-28,NA,SMB,outbound
A000413,2024-11-23,NA,SMB,organic
A000414,2025-02-06,LATAM,SMB,organic
A000415,2024-08-27,EMEA,SMB,outbound
A000416,2024-07-16,EMEA,SMB,paid_search
A000417,2025-07-21,APAC,SMB,organic
A000418,2023-08-29,APAC,SMB,organic
A000419,2024-07-09,EMEA,SMB,outbound
A000420,2025-05-07,NA,mid_market,referral
A000421,2025-01-23,LATAM,SMB,partner
A000422,2023-02-10,APAC,SMB,paid_search
A000423,2025-02-19,APAC,SMB,referral
A000424,2023-01-04,APAC,mid_market,outbound
A000425,2025-04-22,LATAM,SMB,outbound
A000426,2025-04-07,APAC,enterprise,partner
A000427,2023-07-25,APAC,mid_market,partner
A000428,2025-06-03,APAC,mid_market,referral
A000429,2024-09-16,EMEA,SMB,referral
A000430,2023-04-06,EMEA,mid_market,referral
A000431,2024-06-19,NA,SMB,organic
A000432,2025-02-26,APAC,SMB,outbound
A000433,2023-11-20,NA,SMB,organic
A000434,2024-10-19,EMEA,SMB,partner
A000435,2024-10-07,APAC,mid_market,organic
A000436,2024-02-04,APAC,SMB,paid_search
A000437,2023-03-02,NA,mid_market,organic
A000438,2023-01-29,NA,mid_market,referral
A000439,2024-01-25,LATAM,SMB,referral
A000440,2025-05-27,EMEA,SMB,outbound
A000441,2024-10-12,NA,SMB,organic
A000442,2023-11-03,EMEA,mid_market,referral
A000443,2024-06-24,EMEA,SMB,outbound
A000444,2025-03-26,NA,enterprise,referral
A000445,2023-07-08,EMEA,SMB,referral
A000446,2024-09-22,NA,SMB,organic
A000447,2024-09-25,APAC,SMB,partner
A000448,2023-05-19,LATAM,SMB,partner
A000449,2025-08-20,LATAM,SMB,partner
A000450,2023-03-13,LATAM,SMB,organic
A000451,2023-07-13,EMEA,SMB,paid_search
A000452,2025-02-09,NA,SMB,paid_search
A000453,2024-12-17,EMEA,SMB,organic
A000454,2023-08-05,EMEA,enterprise,paid_search
A000455,2024-08-11,EMEA,SMB,outbound
A000456,2023-04-27,EMEA,SMB,organic
A000457,2024-11-08,EMEA,SMB,partner
A000458,2023-04-26,EMEA,SMB,referral
A000459,2023-10-27,EMEA,SMB,partner
A000460,2023-07-06,EMEA,SMB,partner
A000461,2025-06-30,LATAM,SMB,paid_search
A000462,2024-07-19,NA,SMB,organic
A000463,2023-10-20,EMEA,SMB,organic
A000464,2023-04-14,NA,SMB,referral
A000465,2024-10-29,NA,SMB,paid_search
A000466,2023-12-07,EMEA,SMB,outbound
A000467,2023-06-07,NA,mid_market,partner
A000468,2024-10-20,NA,SMB,organic
A000469,2024-12-17,LATAM,mid_market,partner
A000470,2024-09-04,APAC,enterprise,outbound
A000471,2023-10-26,LATAM,SMB,partner
A000472,2024-04-10,APAC,SMB,paid_search
A000473,2024-06-17,LATAM,SMB,referral
A000474,2024-08-17,EMEA,mid_market,organic
A000475,2023-02-05,LATAM,SMB,organic
A000476,2023-05-12,APAC,mid_market,partner
A000477,2023-07-24,NA,SMB,referral
A000478,2024-04-12,EMEA,SMB,outbound
A000479,2025-01-23,EMEA,SMB,outbound
A000480,2023-08-11,NA,SMB,referral
A000481,2024-12-11,EMEA,SMB,outbound
A000482,2024-09-24,LATAM,mid_market,referral
A000483,2024-06-25,NA,SMB,referral
A000484,2024-09-08,EMEA,SMB,outbound
A000485,2023-12-15,LATAM,SMB,partner
A000486,2024-08-16,EMEA,SMB,organic
A000487,2025-01-10,LATAM,SMB,outbound
A000488,2024-02-10,NA,mid_market,paid_search
A000489,2025-01-11,LATAM,SMB,referral
A000490,2024-04-28,APAC,SMB,paid_search
A000491,2024-05-02,NA,mid_market,partner
A000492,2023-09-19,LATAM,SMB,referral
A000493,2023-09-04,LATAM,SMB,paid_search
A000494,2023-02-07,EMEA,SMB,partner
A000495,2025-09-21,NA,mid_market,partner
A000496,2023-09-26,NA,enterprise,paid_search
A000497,2025-03-02,NA,SMB,referral
A000498,2025-08-31,LATAM,SMB,partner
A000499,2023-04-10,EMEA,SMB,organic
A000500,2025-08-26,LATAM,SMB,organic
A000501,2023-01-04,EMEA,SMB,referral
A000502,2024-08-12,EMEA,SMB,outbound
A000503,2024-08-07,NA,mid_market,partner
A000504,2025-04-05,APAC,enterprise,partner
A000505,2024-08-23,APAC,mid_market,paid_search
A000506,2023-06-06,LATAM,SMB,organic
A000507,2023-05-25,APAC,SMB,paid_search
A000508,2023-11-21,APAC,mid_market,organic
A000509,2023-10-23,APAC,SMB,outbound
A000510,2023-02-03,APAC,enterprise,paid_search
A000511,2025-03-18,APAC,SMB,referral
A000512,2025-03-31,LATAM,SMB,referral
A000513,2024-08-13,EMEA,mid_market,organic
A000514,2024-12-08,APAC,SMB,partner
A000515,2023-03-05,EMEA,SMB,referral
A000516,2024-06-18,EMEA,SMB,partner
A000517,2025-05-02,EMEA,SMB,paid_search
A000518,2024-04-29,NA,SMB,outbound
A000519,2024-05-19,EMEA,SMB,referral
A000520,2023-08-20,LATAM,SMB,referral
A000521,2023-10-12,EMEA,SMB,partner
A000522,2025-03-06,EMEA,SMB,paid_search
A000523,2023-04-30,LATAM,SMB,organic
A000524,2023-04-24,APAC,mid_market,outbound
A000525,2023-02-23,LATAM,SMB,partner
A000526,2023-05-31,LATAM,SMB,organic
A000527,2024-10-24,NA,mid_market,partner
A000528,2025-06-23,EMEA,SMB,organic
A000529,2024-04-21,LATAM,SMB,partner
A000530,2025-06-27,LATAM,SMB,paid_search
A000531,2024-03-30,LATAM,SMB,paid_search
A000532,2023-05-23,LATAM,SMB,paid_search
A000533,2023-04-06,EMEA,SMB,organic
A000534,2024-01-09,EMEA,mid_market,outbound
A000535,2023-10-09,NA,SMB,organic
A000536,2023-04-22,EMEA,SMB,organic
A000537,2023-06-13,APAC,SMB,organic
A000538,2023-06-14,NA,SMB,referral
A000539,2025-09-14,LATAM,SMB,partner
A000540,2025-07-23,LATAM,SMB,paid_search
A000541,2024-11-07,LATAM,enterprise,organic
A000542,2025-09-26,NA,SMB,paid_search
A000543,2023-05-10,NA,mid_market,paid_search
A000544,2025-07-25,LATAM,SMB,outbound
A000545,2023-12-14,NA,SMB,organic
A000546,2025-08-29,LATAM,mid_market,paid_search
A000547,2023-01-30,LATAM,SMB,partner
A000548,2025-04-20,APAC,enterprise,organic
A000549,2023-07-14,NA,enterprise,referral
A000550,2024-10-17,LATAM,SMB,outbound
A000551,2023-11-10,APAC,SMB,referral
A000552,2023-10-09,LATAM,SMB,partner
A000553,2025-07-31,APAC,enterprise,partner
A000554,2023-09-18,LATAM,mid_market,outbound
A000555,2023-07-27,APAC,SMB,partner
A000556,2023-09-23,LATAM,mid_market,paid_search
A000557,2025-06-13,EMEA,SMB,outbound
A000558,2023-01-06,LATAM,SMB,outbound
A000559,2024-06-27,APAC,mid_market,outbound
A000560,2024-02-26,EMEA,mid_market,partner
A000561,2023-10-22,LATAM,SMB,organic
A000562,2025-03-17,LATAM,SMB,referral
A000563,2024-04-10,EMEA,SMB,organic
A000564,2023-11-22,NA,SMB,paid_search
A000565,2023-05-06,LATAM,mid_market,paid_search
A000566,2024-03-02,NA,SMB,referral
A000567,2024-01-04,LATAM,SMB,paid_search
A000568,2025-04-30,LATAM,SMB,referral
A000569,2025-07-15,APAC,SMB,outbound
A000570,2023-03-09,APAC,SMB,outbound
A000571,2025-07-19,LATAM,SMB,outbound
A000572,2023-01-07,APAC,SMB,paid_search
A000573,2025-07-01,EMEA,mid_market,referral
A000574,2023-11-04,APAC,SMB,referral
A000575,2025-04-26,EMEA,SMB,outbound
A000576,2025-05-11,EMEA,SMB,partner
A000577,2024-09-19,APAC,SMB,organic
A000578,2023-12-23,NA,SMB,partner
A000579,2023-10-07,LATAM,mid_market,paid_search
A000580,2025-07-31,APAC,mid_market,referral
A000581,2025-07-28,EMEA,SMB,partner
A000582,2023-02-25,NA,mid_market,outbound
A000583,2023-07-22,NA,SMB,outbound
A000584,2023-12-07,NA,SMB,outbound
A000585,2023-04-12,LATAM,SMB,referral
A000586,2024-03-18,APAC,mid_market,referral
A000587,2024-01-06,LATAM,SMB,referral
A000588,2023-03-12,LATAM,SMB,referral
A000589,2025-04-16,EMEA,SMB,paid_search
A000590,2024-07-24,LATAM,SMB,paid_search
A000591,2025-08-05,NA,mid_market,organic
A000592,2025-06-20,APAC,SMB,organic
A000593,2024-04-08,LATAM,mid_market,referral
A000594,2025-08-02,NA,mid_market,partner
A000595,2025-01-05,APAC,SMB,paid_search
A000596,2023-06-23,LATAM,SMB,partner
A000597,2023-08-14,LATAM,SMB,partner
A000598,2023-08-26,NA,mid_market,organic
A000599,2023-02-06,EMEA,SMB,paid_search
A000600,2025-03-06,APAC,SMB,organic
A000601,2023-05-15,NA,SMB,organic
A000602,2023-06-28,APAC,SMB,outbound
